variable_name,variable_label,value_labels
QKEY,QKEY,{}
NEW_Device_Type_W27,Wave 27 New Device Type,"{1.0: 'Mobile phone', 2.0: 'Tablet', 3.0: 'Desktop', 4.0: 'Phone (CATI)', 5.0: 'Mail'}"
LANGUAGE_W27,language,"{0.0: 'Not applicable', 9.0: 'English', 10.0: 'Spanish'}"
FORM_W27,FORM Selection,"{1.0: 'FORM 1', 2.0: 'FORM 2'}"
CAREREL_W27,"CAREREL. How likely is it that, at some point in your life, you will be responsible for caring for an aging parent or family member?","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not too likely', 4.0: 'Not at all likely', 5.0: 'I am already doing this', 99.0: 'Refused'}"
INDUSTRY_W27,"INDUSTRY. What industry or field do you currently work in? If you have multiple jobs, please choose the one that you consider to be your main or primary occupation.","{1.0: 'Hospitality or service', 2.0: 'Health care', 3.0: 'Manufacturing, mining, or construction', 4.0: 'Retail', 5.0: 'Education', 6.0: 'Banking, finance, accounting, real estate, or insurance', 7.0: 'Transportation', 8.0: 'Government, public administration or military', 9.0: 'Information/Technology', 10.0: 'Other', 11.0: 'Not currently employed', 99.0: 'Refused'}"
JOBDUTY_A_W27,JOBDUTY_A. Manual or physical labor (Does your work involve any of the following duties or tasks?),{1.0: 'Manual or physical labor'}
JOBDUTY_B_W27,JOBDUTY_B. Managing others (Does your work involve any of the following duties or tasks?),{1.0: 'Managing others'}
JOBDUTY_C_W27,JOBDUTY_C. Working directly with clients or customers (Does your work involve any of the following duties or tasks?),{1.0: 'Working directly with clients or customers'}
JOBDUTY_D_W27,JOBDUTY_D. Data processing or analysis (Does your work involve any of the following duties or tasks?),{1.0: 'Data processing or analysis'}
JOBDUTY_E_W27,JOBDUTY_E. None of these (Does your work involve any of the following duties or tasks?),{1.0: 'None of these'}
JOBDUTYREF_W27,No item in set selected for JOBDUTY (A-E),{99.0: 'Refused all items in set'}
KNOW1_W27,"KNOW1. Based on what you know, in the last 30 years has the total number of manufacturing jobs in the United States...","{1.0: 'Increased', 2.0: 'Decreased', 3.0: 'Stayed about the same', 99.0: 'Refused'}"
KNOW2_W27,"KNOW2. Based on what you know, in the last 30 years has the value of the goods and products manufactured in the United States...","{1.0: 'Increased', 2.0: 'Decreased', 3.0: 'Stayed about the same', 99.0: 'Refused'}"
PREDICTA_W27,PREDICTA. Do you think each of the following things will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably NOT happen', 4.0: 'Will definitely NOT happen', 99.0: 'Refused'}"
PREDICTB_W27,PREDICTB. Do you think each of the following things will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably NOT happen', 4.0: 'Will definitely NOT happen', 99.0: 'Refused'}"
PREDICTC_W27,PREDICTC. Do you think each of the following things will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably NOT happen', 4.0: 'Will definitely NOT happen', 99.0: 'Refused'}"
PREDICTD_W27,"PREDICTD. Do you think each of the following things will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer","{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably NOT happen', 4.0: 'Will definitely NOT happen', 99.0: 'Refused'}"
CARS1_W27,"CARS1. How much have you seen or heard about the effort to develop driverless vehicles - that is, cars and trucks that can operate on their own without a human driver?","{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}"
CARS2_W27,"CARS2. Has what you've seen or heard about driverless vehicles been mostly positive, mostly negative, or a mix of both?","{1.0: 'Mostly positive', 2.0: 'Mostly negative', 3.0: 'A mix of both', 99.0: 'Refused'}"
CARS3A_W27,"CARS3A. How ENTHUSIASTIC are you, if at all, about the development of driverless vehicles?","{1.0: 'Very enthusiastic', 2.0: 'Somewhat enthusiastic', 3.0: 'Not too enthusiastic', 4.0: 'Not at all enthusiastic', 99.0: 'Refused'}"
CARS3B_W27,"CARS3B. How WORRIED are you, if at all, about the development of driverless vehicles?","{1.0: 'Very worried', 2.0: 'Somewhat worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}"
CARS4_W27,"CARS4. How long, if ever, do you think it will take for MOST of the vehicles on the road to be driverless, rather than driven by humans?","{1.0: 'Less than 10 years', 2.0: '10 to less than 50 years', 3.0: '50 to less than 100 years', 4.0: '100 or more years', 5.0: 'It will never happen', 99.0: 'Refused'}"
CARS5_W27,"CARS5. Would you, personally, want to ride in a driverless vehicle if you had the opportunity?","{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
CARS7A_W27,CARS7A. How safe would you feel sharing the road with a driverless passenger vehicle?,"{1.0: 'Very safe', 2.0: 'Somewhat safe', 3.0: 'Not too safe', 4.0: 'Not safe at all', 99.0: 'Refused'}"
CARS7B_W27,CARS7B. How safe would you feel sharing the road with a driverless freight truck?,"{1.0: 'Very safe', 2.0: 'Somewhat safe', 3.0: 'Not too safe', 4.0: 'Not safe at all', 99.0: 'Refused'}"
CARS8_W27,"CARS8. If driverless vehicles become widespread, do you think that the number of people killed or injured in traffic accidents will increase, decrease, or stay about the same?","{1.0: 'Increase', 2.0: 'Decrease', 3.0: 'Stay about the same', 99.0: 'Refused'}"
CARS9A_W27,"CARS9A. Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes","{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
